product_key,product_name,brand,product_url
155444|12kg_iams_advanced_nutrition_dry_dog_food_10kg_2kg_free_|dry,12kg IAMS Advanced Nutrition Dry Dog Food - 10kg + 2kg Free! *,155444,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/853523?activeVariant=853523.12
forza10|forza10_mini_&_toy_diet_lamb_with_rice_croquettes_for_dogs|dry,Mini & Toy Diet Lamb with Rice Croquettes for dogs,Forza10,https://www.zooplus.com/shop/dogs/dry_dog_food/forza10/forza_10_diet/1948053?activeVariant=1948053.0
forza10|forza10activelinedermoactive|dry,Forza 10 Active Line - Dermo Active,Forza10,https://www.zooplus.com/shop/dogs/dry_dog_food/forza10/active_line/1947833?activeVariant=1947833.0
forza10|forza10activelineintestinalcolonphase1|dry,Forza 10 Active Line Intestinal Colon Phase 1,Forza10,https://www.zooplus.com/shop/dogs/dry_dog_food/forza10/active_line/1948047?activeVariant=1948047.0
forza10|forza10activelineminitoyintestinal|dry,Forza10 Active Line Mini/Toy Intestinal,Forza10,https://www.zooplus.com/shop/dogs/dry_dog_food/forza10/active_line/2143347?activeVariant=2143347.0
forza10|forza10bioallbreedsvegetalwithseaweedcroquettesfor|dry,Forza10 Bio All Breeds Vegetal with Seaweed Croquettes for Dogs,Forza10,https://www.zooplus.com/shop/dogs/dry_dog_food/forza10/every_day/1947503?activeVariant=1947503.1
forza10|forza10minidietlowgrainwithporkpotato|dry,Forza10 Mini Diet Low Grain with Pork & Potato,Forza10,https://www.zooplus.com/shop/dogs/dry_dog_food/forza10/forza_10_diet/1897871?activeVariant=1897871.0
forza10|forza10minitoydietlambwithricecroquettesfordogs|dry,FORZA10 Mini & Toy Diet Lamb with Rice Croquettes for dogs,Forza10,https://www.zooplus.com/shop/dogs/dry_dog_food/forza10/forza_10_diet/1948053?activeVariant=1948053.0
granatapet|granatapet_lieblings_mahlzeit_garden_mix|wet,GranataPet Lieblings Mahlzeit - Garden Mix,Granatapet,https://www.zooplus.com/shop/dogs/canned_dog_food/granatapet/1582642?activeVariant=1582642.0
granatapet|granatapetlieblingsmahlzeitadultsensitivefish|dry,GranataPet Liebling's Mahlzeit Adult Sensitive Fish,GranataPet,https://www.zooplus.com/shop/dogs/dry_dog_food/granatapet/1582663?activeVariant=1582663.0
greenwoods|greenwoods_veggie_with_cottage_cheese_egg_apple_broccoli|wet,"Greenwoods Veggie with Cottage Cheese, Egg, Apple & Broccoli",Greenwoods,https://www.zooplus.com/shop/dogs/canned_dog_food/greenwoods/greenwoods_veggie_wet/1367231?activeVariant=1367231.0
"greenwoods|greenwoods_veggie_with_cottage_cheese,_egg,_apple_&_broccoli|wet","Veggie with Cottage Cheese, Egg, Apple & Broccoli",Greenwoods,https://www.zooplus.com/shop/dogs/canned_dog_food/greenwoods/greenwoods_veggie_wet/1367231?activeVariant=1367231.1
greenwoods|greenwoods_veggie_with_yoghurt_potatoes_carrots_spinach|wet,"Greenwoods Veggie with Yoghurt, Potatoes, Carrots & Spinach",Greenwoods,https://www.zooplus.com/shop/dogs/canned_dog_food/greenwoods/greenwoods_veggie_wet/1367233?activeVariant=1367233.0
happy_dog_supreme|happy_dog_sensible_mini_canada|dry,Sensible Mini Canada,Happy Dog Supreme,https://www.zooplus.com/shop/dogs/dry_dog_food/happy_dog/1949013?activeVariant=1949013.0
happy_dog_supreme|happy_dog_supreme_sano_n|dry,Sano N,Happy Dog Supreme,https://www.zooplus.com/shop/dogs/dry_dog_food/happy_dog/1583212?activeVariant=1583212.0
happydogsupreme|happydogsensibleminicanada|dry,Happy Dog Sensible Mini Canada,Happy Dog Supreme,https://www.zooplus.com/shop/dogs/dry_dog_food/happy_dog/1949013?activeVariant=1949013.0
happydogsupreme|happydogsupremesanon|dry,Happy Dog Supreme Sano N,Happy Dog Supreme,https://www.zooplus.com/shop/dogs/dry_dog_food/happy_dog/1583212?activeVariant=1583212.0
happydogsupreme|happydogsupremesensiblemontana|dry,Happy Dog Supreme Sensible Montana,Happy Dog Supreme,https://www.zooplus.com/shop/dogs/dry_dog_food/happy_dog/1583214?activeVariant=1583214.1
