aadf_brand_raw,aadf_brand_normalized,aadf_product_name,aadf_form,aadf_key,match_score,exact_key_match,canonical_brand,canonical_product_name,canonical_key,canonical_form
Scrumbles,Scrumbles,grain free complete,wet,scrumbles|grain_free_complete|wet,0.0,False,,,,
Bentleys,Bentleys,superfood blend,raw,bentleys|superfood_blend|raw,0.8571428571428571,False,Bentleys,Duck Superfood Blend,bentleys|duck_superfood_blend|unknown,dry
Orygo,Orygo,,dry,orygo||dry,0.0,False,,,,
Natures,Natures,variety selected mini,dry,natures|variety_selected_mini|dry,0.0,False,,,,
Orlando,Orlando,complete,wet,orlando|complete|wet,0.0,False,,,,
Farm,Farm,food he classic,wet,farm|food_he_classic|wet,0.0,False,,,,
Nood,Nood,,dry,nood||dry,0.0,False,,,,
The,The,pack crunchy feast,wet,the|pack_crunchy_feast|wet,0.0,False,,,,
Morrisons,Morrisons,complete,wet,morrisons|complete|wet,0.0,False,,,,
Hownd,Hownd,plant powered superfood,wet,hownd|plant_powered_superfood|wet,0.0,False,,,,
Denes,Denes,tins,wet,denes|tins|wet,0.0,False,,,,
Wolf of Wilderness,Wolf of Wilderness,elements,wet,wolf_of_wilderness|elements|wet,0.0,False,,,,
Natures Deli,Natures Deli,,wet,natures_deli||wet,0.0,False,,,,
Darf,Darf,complete regular,raw,darf|complete_regular|raw,0.0,False,,,,
Icepaw,Icepaw,light pure 17 10,wet,icepaw|light_pure_17_10|wet,0.0,False,,,,
Hills Science,Hill's,plan 1 6 light,wet,hill_s|plan_1_6_light|wet,0.0,False,,,,
Crave,Crave,,dry,crave||dry,0.0,False,,,,
Wainwrights,Wainwrights,,dry,wainwrights||dry,0.0,False,,,,
Beta,Beta,,dry,beta||dry,0.0,False,,,,
Webbox,Webbox,natural complete,dry,webbox|natural_complete|dry,0.0,False,,,,
Tilly,Tilly,and ted cans,wet,tilly|and_ted_cans|wet,0.0,False,,,,
Wonderdog,Wonderdog,special,wet,wonderdog|special|wet,0.0,False,,,,
Farmina Natural,Farmina Natural,and delicious ancestral grain mini,dry,farmina_natural|and_delicious_ancestral_grain_mini|dry,0.0,False,,,,
Barking Heads,Barking Heads,big foot,dry,barking_heads|big_foot|dry,0.5333333333333334,False,Barking Heads,Heads Big Foot Puppy Days,barking|heads_big_foot_puppy_days|dry,dry
Barking Heads,Barking Heads,little paws,dry,barking_heads|little_paws|dry,0.5761904761904763,False,Barking Heads,Heads Little Paws Fuss Pot Duck,barking|heads_little_paws_fuss_pot_duck|dry,dry
Natures,Natures,way 80 percent recipes,dry,natures|way_80_percent_recipes|dry,0.0,False,,,,
Sainsburys,Sainsburys,natures goodness hypoallergenic,dry,sainsburys|natures_goodness_hypoallergenic|dry,0.0,False,,,,
Hills,Hills,prescription diet j d,dry,hills|prescription_diet_j_d|dry,0.0,False,,,,
Darf,Darf,complete,raw,darf|complete|raw,0.0,False,,,,
Luna,Luna,and me power,raw,luna|and_me_power|raw,0.0,False,,,,
Hills Science,Hill's,plan mature 7,wet,hill_s|plan_mature_7|wet,0.0,False,,,,
Arden Grange,Arden Grange,grain free superfoods,dry,arden_grange|grain_free_superfoods|dry,0.7573770491803279,False,Arden Grange,Grange Grain Free Adult Duck  Superfoods,arden|grange_grain_free_adult_duck__superfoods|unknown,dry
Arden Grange,Arden Grange,prestige,wet,arden_grange|prestige|wet,0.43243243243243246,False,Arden Grange,Grange Adult Prestige Chicken,arden|grange_adult_prestige_chicken|dry,dry
Royal Canin,Royal Canin,veterinary diet renal,wet,royal_canin|veterinary_diet_renal|wet,0.0,False,,,,
Skinners,Skinners,life,wet,skinners|life|wet,0.0,False,,,,
Fish4Dogs,Fish4Dogs,finest complete,wet,fish4dogs|finest_complete|wet,0.0,False,,,,
Pooch,Pooch & Mutt,and mutt,dry,pooch_mutt|and_mutt|dry,0.0,False,,,,
Vitalin,Vitalin,active,dry,vitalin|active|dry,0.0,False,,,,
Naturea,Naturea,,wet,naturea||wet,0.0,False,,,,
Canidae,Canidae,pure elements,wet,canidae|pure_elements|wet,0.0,False,,,,
Omni,Omni,,dry,omni||dry,0.0,False,,,,
Europa,Europa,55 45 grain free,dry,europa|55_45_grain_free|dry,0.0,False,,,,
Nose2Tail,Nose2tail,,wet,nose2tail||wet,0.0,False,,,,
James Wellbeloved,James Wellbeloved,superfoods,dry,james_wellbeloved|superfoods|dry,0.0,False,,,,
Husse,Husse,pate,wet,husse|pate|wet,0.0,False,,,,
Collards,Collards,older overweight and potato,wet,collards|older_overweight_and_potato|wet,0.0,False,,,,
Benyfit,Benyfit,natural meat feast,wet,benyfit|natural_meat_feast|wet,0.8372093023255814,False,Benyfit,Natural Meat Feast Turkey,benyfit|natural_meat_feast_turkey|raw,raw
Edmondsons,Edmondsons,80 20,dry,edmondsons|80_20|dry,0.0,False,,,,
Canagan,Canagan,grain free light,wet,canagan|grain_free_light|wet,0.5333333333333333,False,Canagan,Grass Fed Lamb,canagan|grass_fed_lamb|dry,dry
Taste,Taste,of the wild,wet,taste|of_the_wild|wet,0.0,False,,,,
Bakers,Bakers,dog,dry,bakers|dog|dry,0.18333333333333335,False,Bakers,Adult Beef  Vegetable,bakers|adult_beef__vegetable|dry,dry
K9,K9,optimum,wet,k9|optimum|wet,0.0,False,,,,
Benevo,Benevo,original,wet,benevo|original|wet,0.7272727272727273,False,Benevo,Adult Original,benevo|adult_original|dry,dry
Royal Canin,Royal Canin,,wet,royal_canin||wet,0.0,False,,,,
Country Dog,Country Dog,premium 7,wet,country_dog|premium_7|wet,0.0,False,,,,
Alpha Spirit,Alpha Spirit,semi moist complete,wet,alpha_spirit|semi_moist_complete|wet,0.32142857142857145,False,Alpha Spirit,Alpha Spirit 7 Days Formula (Semi-Moist),alpha_spirit|alpha_spirit_7_days_formula_(semi-moist)|dry,dry
Concept For,Concept For,life,wet,concept_for|life|wet,0.0,False,,,,
Bosch,Bosch,sensitive,wet,bosch|sensitive|wet,0.6206896551724138,False,Bosch,Sensitive Lamb  Rice,bosch|sensitive_lamb__rice|unknown,dry
Royal Canin,Royal Canin,golden retriever,wet,royal_canin|golden_retriever|wet,0.0,False,,,,
Harringtons,Harringtons,,dry,harringtons||dry,0.0,False,,,,
Wainwrights,Wainwrights,nutritious insects with superfoods,wet,wainwrights|nutritious_insects_with_superfoods|wet,0.0,False,,,,
Fish4Dogs,Fish4Dogs,superior complete,wet,fish4dogs|superior_complete|wet,0.0,False,,,,
Collards,Collards,and rice,wet,collards|and_rice|wet,0.0,False,,,,
Tribal,Tribal,fresh pressed,dry,tribal|fresh_pressed|dry,0.0,False,,,,
