web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,image-0-src,text-1,text-2,text-3,text-4
"1757708383-2647","https://www.zooplus.com/shop/dogs/dry_dog_food","","Wolf of Wilderness Adult ""Crimson Sunset"" - Lamb & Goat 12kg","https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/206814/962585?activeVariant=962585.3","https://media.zooplus.com/bilder/3/400/wow_redclassic_crimsonsunset_frontright_12kg_1000x1000_3.jpg","Wolf of Wilderness Adult ""Crimson Sunset"" - Lamb & Goat","","","Nutritious, easy to digest complete dry dog food with 40% fresh pork, combined with lamb & goat and enriched with berries and herbs. This kibble is free from artificial preservatives, colours and aromas."
"1757708385-2648","https://www.zooplus.com/shop/dogs/dry_dog_food","","Eukanuba Veterinary Diet Adult Intestinal 5kg","https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba_vet_diet/adult/679986?activeVariant=679986.6","https://media.zooplus.com/bilder/1/400/424896_pla_eukanuba_veterinarydiets_adult_intestinal_5kg_hs_01_1.jpg","Eukanuba Veterinary Diet Adult Intestinal","","","Dietetic dry food for dogs with gastrointestinal disorders, promotes good digestion, light and highly digestible, low in fat, rich in electrolytes, with beet pulp and prebiotics."
"1757708388-2649","https://www.zooplus.com/shop/dogs/dry_dog_food","","Concept for Life X-Large Adult Economy Pack: 2 x 12kg","https://www.zooplus.com/shop/dogs/dry_dog_food/concept_for_life/concept_for_life_xlarge/650777?activeVariant=650777.7","https://media.zooplus.com/bilder/7/400/75918_pla_concept_for_life_x_large_adult_12kg_7.jpg","Concept for Life X-Large Adult","","","zooplus choice"
"1757708390-2650","https://www.zooplus.com/shop/dogs/dry_dog_food","","Wolf of Wilderness Mini Soft ""Silvery Lakes"" - Chicken with Duck Economy Pack: 5 x 1kg","https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/mini_kibble/1241521?activeVariant=1241521.1","https://media.zooplus.com/bilder/0/400/wow_soft_silverylakes_mini_frontright_1kg_1000x1000_0.jpg","Wolf of Wilderness Mini Soft ""Silvery Lakes"" - Chicken with Duck","","","Mini-sized 100% grain-free semi-moist dry dog food made with lots of fresh chicken meat from premium free-range farming, tasty duck protein and natural meat juices for a softer consistency."
"1757708393-2651","https://www.zooplus.com/shop/dogs/dry_dog_food","","Wolf of Wilderness Soft “Green Fields” - Lamb 1kg","https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/semi_moist/684709?activeVariant=684709.1","https://media.zooplus.com/bilder/1/400/wow_soft_2022_greenfields_front_1kg_1000x1000_1.jpg","Wolf of Wilderness Soft “Green Fields” - Lamb","","","A wholesome semi-moist dry dog food based around the natural nutrition of a wolf in the wild, with plenty of delicious meat and a high moisture content for softer kibble pieces."
"1757708395-2652","https://www.zooplus.com/shop/dogs/dry_dog_food","","Lukullus Cold-Pressed Charolais Beef & Trout 1.5kg","https://www.zooplus.com/shop/dogs/dry_dog_food/lukullus/adult/156093?activeVariant=156093.9","https://media.zooplus.com/bilder/9/400/28457_pla_lukullus_adult_beef_trout_1_5kg_9.jpg","Lukullus Cold-Pressed Charolais Beef & Trout","","","Made with juicy Charolais beef and trout, wholegrain rice and fruit, this complete dry dog food is rich in proteins and omega 3 fatty acids. Gentle cold-pressing helps retain nutrients and flavour."
"1757708398-2653","https://www.zooplus.com/shop/dogs/dry_dog_food","","Wolf of Wilderness Adult ""Sunny Glade"" - Venison Economy Pack: 5 x 1kg","https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/206814/497309?activeVariant=497309.5","https://media.zooplus.com/bilder/7/400/wow_classic_sunnyglade_1kg_1000x1000_7.jpg","Wolf of Wilderness Adult ""Sunny Glade"" - Venison","","","zooplus choice"
"1757708400-2654","https://www.zooplus.com/shop/dogs/dry_dog_food","","Eukanuba Daily Care Adult Sensitive Joints Economy Pack: 2 x 12kg","https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/eukanuba_special_care/128061?activeVariant=128061.12","https://media.zooplus.com/bilder/7/400/149008_pla_tetragmbhiams_eukanuba_dailycare_adult_sensitive_joints_dog_12kg_hs_01_7.jpg","Eukanuba Daily Care Adult Sensitive Joints","","","Complete, balanced dry food for all breeds of adult dog aged over 1 year, developed to support mobility and made with chicken in a kibble form to support teeth cleaning and dental care."
"1757708402-2655","https://www.zooplus.com/shop/dogs/dry_dog_food","","Royal Canin Poodle Adult Economy Pack: 2 x 7.5kg","https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_breed/poodle/128309?activeVariant=128309.8","https://media.zooplus.com/bilder/6/400/61159_pla_royalcanin_adulthund_poodle_6.jpg","Royal Canin Poodle Adult","","","Complete dry dog food specially designed for adult poodles over the age of 10 months, with borage oil and omega-3 fatty acids as well as an adapted protein content and antioxidant complex."
"1757708405-2656","https://www.zooplus.com/shop/dogs/dry_dog_food","","Hill's Prescription Diet Gastrointestinal Biome Mini - Chicken 6kg","https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/gastrointestinal/1293482?activeVariant=1293482.0","https://media.zooplus.com/bilder/2/400/ps_606269_3d_full_front_2.jpg","Hill's Prescription Diet Gastrointestinal Biome Mini - Chicken","","","Dietetic dry food for small breed adult dogs, with prebiotic fibres, antioxidants and omega fatty acids to support a balanced gut flora and good stool consistency."
